Municípios,"Mesorregião dos municípios
",Total de domicílios,"Domicílios com cobertura de abastecimento de água pela rede geral, por município","Domicílios com cobertura de abastecimento de água pela rede geral, por município (%)","Número de domicílios com cobertura de esgotamento sanitário pela rede geral, por município ","Domicílios com cobertura de esgotamento sanitário pela rede geral, por município (%)","Domicílios sem nenhum tipo de esgotamento sanitário, por município ","Domicílios sem nenhum tipo de esgotamento sanitário, por município (%)","Número de domicílios com cobertura de energia elétrica pela rede geral, por município","Domicílios com cobertura de energia elétrica pela rede geral, por município(%)","Domicílios sem nenhuma fonte de energia elétrica, por município","Domicílios sem nenhuma fonte de energia elétrica, por município (%)",Taxa de mortalidade infantil por município,Renda per capita por município,"Taxa de alfabetização da população de 10 anos ou mais, por município",Índice de desenvolvimento humano municipal por município,Índice de gini por município
São José da Coroa Grande,MATA PERNAMBUCANA,4895,"3,447",70.42,44,0.90,228,4.66%,"4,862",99.33,33,0.67%,25.34,304.50,77.75,0.608,0.58
São José do Belmonte,SERTÃO PERNAMBUCANO,8808,"5,210",59.15,"2,766",31.40,"1,538",17.46%,"8,699",98.76,109,1.24%,4.81,275.14,74.24,0.61,0.54
São José do Egito,SERTÃO PERNAMBUCANO,10041,"6,980",69.51,"6,205",61.80,823,8.20%,"9,977",99.36,64,0.64%,9.55,338.90,79.81,0.635,0.53
São Lourenço da Mata,METROPOLITANA DE RECIFE,30317,"22,861",75.41,"9,482",31.28,524,1.73%,"30,204",99.63,113,0.37%,15.33,364.43,85.11,0.653,0.5
São Vicente Ferrer,AGRESTE PERNAMBUCANO,4642,"2,696",58.08,"2,358",50.80,151,3.25%,"4,592",98.92,50,1.08%,13.11,257.47,72.23,0.549,0.56
Serra Talhada,SERTÃO PERNAMBUCANO,23026,"17,944",77.93,"16,186",70.29,"2,915",12.66%,"22,861",99.28,165,0.72%,-,407.34,80.35,0.661,0.56
Serrita,SERTÃO PERNAMBUCANO,4415,"1,913",43.33,"1,491",33.77,"1,316",29.81%,"4,323",97.92,92,2.08%,18.96,233.56,76.24,0.595,0.56
Sertânia,SERTÃO PERNAMBUCANO,9717,"5,651",58.16,"4,433",45.62,"1,338",13.77%,"9,637",99.18,80,0.82%,13.91,337.53,75.29,0.613,0.6
Sirinhaém,MATA PERNAMBUCANA,10011,"5,958",59.51,"1,750",17.48,744,7.43%,"9,932",99.21,79,0.79%,31.45,273.75,76.43,0.597,0.44
Solidão,SERTÃO PERNAMBUCANO,1545,536,34.69,423,27.38,271,17.54%,"1,520",98.38,25,1.62%,24.39,240.64,76.86,0.585,0.56
Surubim,AGRESTE PERNAMBUCANO,17513,"14,295",81.63,"9,709",55.44,248,1.42%,"17,446",99.62,67,0.38%,12.51,372.11,77.34,0.635,0.52
Tabira,SERTÃO PERNAMBUCANO,7952,"5,853",73.60,"5,428",68.26,691,8.69%,"7,873",99.01,79,0.99%,10.78,278.14,78.74,0.605,0.51
Tacaimbó,AGRESTE PERNAMBUCANO,3908,"1,978",50.61,"1,522",38.95,540,13.82%,"3,864",98.87,44,1.13%,17.05,225.21,66.53,0.554,0.5
Tacaratu,SÃO FRANCISCO PERNAMBUCANO,5690,"2,235",39.28,710,12.48,638,11.21%,"5,622",98.80,68,1.20%,18.93,205.06,77.09,0.573,0.49
Tamandaré,MATA PERNAMBUCANA,5343,"3,226",60.38,82,1.53,430,8.05%,"5,317",99.51,26,0.49%,11.74,301.15,78.84,0.593,0.55
Taquaritinga do Norte,AGRESTE PERNAMBUCANO,7383,"2,909",39.40,"2,783",37.69,207,2.80%,"7,348",99.53,35,0.47%,13.89,419.74,79.19,0.641,0.42
Terezinha,AGRESTE PERNAMBUCANO,1842,773,41.97,691,37.51,285,15.47%,"1,824",99.02,18,0.98%,37.31,225.28,66.62,0.545,0.53
Terra Nova,SÃO FRANCISCO PERNAMBUCANO,2421,"1,876",77.49,"1,104",45.60,423,17.47%,"2,397",99.01,24,0.99%,-,237.89,81.02,0.599,0.49
Timbaúba,MATA PERNAMBUCANA,15164,"12,241",80.72,"7,275",47.98,299,1.97%,"15,055",99.28,109,0.72%,7.46,318.80,80.34,0.618,0.5
Toritama,AGRESTE PERNAMBUCANO,10185,"7,994",78.49,"7,872",77.29,54,0.53%,"10,172",99.87,13,0.13%,7.1,470.44,80.89,0.618,0.43
Tracunhaém,MATA PERNAMBUCANA,3648,"2,742",75.16,691,18.94,71,1.95%,"3,635",99.64,13,0.36%,10.7,272.81,76.79,0.605,0.46
Trindade,SERTÃO PERNAMBUCANO,6894,"5,900",85.58,"2,386",34.61,501,7.27%,"6,814",98.84,80,1.16%,21.05,338.39,77.09,0.595,0.57
Triunfo,SERTÃO PERNAMBUCANO,4341,"2,040",46.99,768,17.69,322,7.42%,"4,332",99.79,9,0.21%,5.24,389.44,84.62,0.67,0.56
Tupanatinga,AGRESTE PERNAMBUCANO,6154,"2,670",43.39,"1,581",25.69,"1,482",24.08%,"6,010",97.66,144,2.34%,25.94,172.52,65.94,0.519,0.61
Tuparetama,SERTÃO PERNAMBUCANO,2587,"2,026",78.31,"1,421",54.93,102,3.94%,"2,567",99.23,20,0.77%,32.52,360.29,80.63,0.634,0.47
Venturosa,AGRESTE PERNAMBUCANO,4512,"2,674",59.26,"2,326",51.55,499,11.06%,"4,479",99.27,33,0.73%,3.5,276.94,74.34,0.592,0.52
Verdejante,SERTÃO PERNAMBUCANO,2416,"1,722",71.27,736,30.46,525,21.73%,"2,348",97.19,68,2.81%,14.71,260.66,76.03,0.605,0.54
Vertente do Lério,AGRESTE PERNAMBUCANO,2310,48,2.08,64,2.77,115,4.98%,"2,293",99.26,17,0.74%,-,219.88,70.22,0.563,0.45
Vertentes,AGRESTE PERNAMBUCANO,5479,"3,320",60.59,"1,738",31.72,286,5.22%,"5,435",99.20,44,0.80%,13.79,337.92,77.6,0.582,0.46
Vicência,MATA PERNAMBUCANA,8064,"6,354",78.79,"3,114",38.62,152,1.88%,"7,978",98.93,86,1.07%,12.92,246.44,78.57,0.605,0.48
Vitória de Santo Antão,MATA PERNAMBUCANA,39446,"31,241",79.20,"23,073",58.49,726,1.84%,"39,309",99.65,137,0.35%,12.1,401.16,79.71,0.64,0.64
Xexéu,MATA PERNAMBUCANA,3666,"2,982",81.34,"1,873",51.09,209,5.70%,"3,639",99.26,27,0.74%,-,243.39,69.93,0.552,0.552
